model,term,coef,std_err,p_value,ci_low,ci_high,nobs,rsquared,dep_mean,note,error
m0_post2017_baseline,C(cause_group)[T.定金合同纠纷],0.14861445261667902,0.34904810879222503,0.6702749494643581,-0.5355072694879006,0.8327361747212587,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.容留他人吸毒罪],-3.6412211787046713e-16,4.15296672592522e-17,1.822572696654508e-18,-4.455187699885337e-16,-2.827254657524006e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.小额借款合同纠纷],-5.904681458613746e-17,7.747600972558921e-17,0.4459822399303901,-2.1089700331416727e-16,9.280337414189235e-17,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.帮助信息网络犯罪活动],-4.201466879013729e-16,1.441916464251812e-17,1.183095798525196e-186,-4.484077312878618e-16,-3.91885644514884e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.帮助信息网络犯罪活动罪],3.368221865514554e-16,4.289542716590771e-17,4.0889969215036846e-15,2.5274869420481524e-16,4.208956788980956e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.广告合同纠纷],-0.16190722430187823,0.15622063159767285,0.3000150876445521,-0.468094035875417,0.14427958727166054,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.建筑物和物件损害责任纠纷],-4.671341955039026e-16,2.018997961964214e-17,1.968235511959637e-118,-5.067058284069989e-16,-4.2756256260080634e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.建设工程合同纠纷],-0.2993472059234143,0.0212875246117825,6.49345055213418e-45,-0.341069987482518,-0.2576244243643106,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.建设工程施工合同纠纷],0.37112589726576933,0.12004052896552822,0.0019903288939563646,0.13585078380819687,0.6064010107233417,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.开设赌场罪],2.367719932227154e-16,1.198745079373544e-16,0.048249368900939706,1.8222750010398987e-18,4.717217114443909e-16,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.悬赏广告纠纷],0.608930246919603,0.025198721723930593,5.178159527544175e-129,0.559541659884252,0.6583188339549539,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.房屋买卖合同纠纷],-0.23364989797802968,0.05893198269831842,7.347646502409491e-05,-0.3491544616042714,-0.11814533435178799,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.房屋拆迁安置补偿合同纠纷],0.952972945715682,0.04376653606043899,4.092255936778058e-105,0.8671921113091481,1.038753780122216,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.房屋租赁合同纠纷],0.00013104573327607852,0.10784703078130058,0.9990304847444337,-0.21124525043765566,0.2115073419042078,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.所有权确认纠纷],-0.34064614239399,0.012874964511228482,2.9498875184145773e-154,-0.3658806091382292,-0.3154116756497508,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
m0_post2017_baseline,C(cause_group)[T.所有权纠纷],0.6612199877648429,0.016933232433523206,0.0,0.6280314620532919,0.694408513476394,5058,0.13184278333495292,0.4211150652431791,2017 policy baseline.,
